uid,points,goal_closeness,activities,unique_activities,average_activities_per_day,supports,reactions,chats,view_challenge,view_activities,view_newsfeed,view_team,view_profile,view_friend
1,1.000,0.049,0.777,0.900,0.157,0.112,0.278,0.556,0.364,0.268,0.347,0.014,0.005,0.002
2,0.765,0.064,0.626,1.000,0.126,1.000,0.111,0.667,0.252,0.303,0.403,0.016,0.014,0.011
3,0.673,0.073,0.823,0.600,0.149,0.000,0.056,0.333,0.102,0.458,0.385,0.020,0.017,0.017
4,0.456,0.108,0.445,0.800,0.084,0.012,0.000,0.000,0.128,0.416,0.443,0.009,0.004,0.000
5,0.427,0.115,0.419,0.600,0.088,0.000,0.000,0.000,0.183,0.344,0.361,0.092,0.020,0.000
6,0.410,0.120,0.339,0.900,0.148,0.065,0.000,0.444,0.106,0.406,0.453,0.017,0.007,0.010
7,0.406,0.121,1.000,0.600,0.309,0.000,0.000,0.000,0.115,0.422,0.451,0.005,0.006,0.000
8,0.401,0.123,0.494,0.500,0.136,0.000,0.000,0.000,0.193,0.302,0.473,0.013,0.004,0.015
9,0.382,0.129,0.690,0.500,0.181,0.000,0.000,0.000,0.130,0.360,0.410,0.050,0.050,0.000
10,0.335,0.147,0.258,0.800,0.062,0.036,0.111,0.000,0.161,0.381,0.416,0.024,0.008,0.011
11,0.324,0.152,0.242,0.600,0.079,0.000,0.000,0.000,0.175,0.464,0.354,0.007,0.000,0.000
12,0.282,0.174,0.174,0.600,0.070,0.012,0.000,0.000,0.027,0.504,0.458,0.008,0.004,0.000
13,0.269,0.182,0.223,0.600,0.078,0.012,0.056,0.000,0.018,0.430,0.498,0.018,0.018,0.018
14,0.265,0.186,0.203,0.700,0.082,0.012,0.000,0.000,0.321,0.367,0.274,0.017,0.021,0.000
15,0.249,0.198,0.510,0.600,0.099,0.533,0.667,1.000,0.220,0.276,0.463,0.004,0.033,0.004
16,0.239,0.206,0.223,0.600,0.065,0.024,0.000,0.000,0.104,0.389,0.407,0.090,0.009,0.000
17,0.230,0.214,0.171,0.600,0.047,0.012,0.000,0.111,0.067,0.537,0.360,0.013,0.023,0.000
18,0.228,0.216,0.145,0.700,0.109,0.000,0.000,0.000,0.030,0.485,0.425,0.042,0.012,0.006
19,0.216,0.227,0.106,0.300,0.027,0.000,0.000,0.000,0.225,0.332,0.426,0.008,0.004,0.004
20,0.210,0.234,0.226,0.400,0.198,0.000,0.000,0.000,0.167,0.227,0.439,0.061,0.106,0.000
21,0.202,0.244,0.100,0.500,0.035,0.012,0.000,0.000,0.023,0.409,0.455,0.045,0.038,0.030
22,0.191,0.258,0.261,0.600,0.092,0.000,0.000,0.222,0.039,0.537,0.372,0.052,0.000,0.000
23,0.189,0.260,0.142,0.400,0.075,0.083,0.000,0.000,0.066,0.432,0.432,0.044,0.022,0.005
24,0.182,0.270,0.461,0.600,0.128,0.000,0.000,0.000,0.099,0.302,0.505,0.015,0.079,0.000
25,0.180,0.273,0.303,0.400,0.057,0.006,0.056,0.000,0.004,0.649,0.317,0.006,0.014,0.009
26,0.177,0.278,0.310,0.500,0.125,0.059,0.000,0.000,0.164,0.297,0.415,0.051,0.015,0.056
27,0.173,0.284,0.174,0.500,0.070,0.006,0.000,0.000,0.102,0.390,0.424,0.078,0.000,0.005
28,0.171,0.287,0.113,0.500,0.025,0.095,0.000,0.000,0.168,0.254,0.351,0.127,0.072,0.027
29,0.152,0.323,0.103,0.600,0.039,0.000,0.000,0.000,0.070,0.496,0.388,0.023,0.016,0.008
30,0.147,0.333,0.142,0.900,0.057,0.018,0.000,0.222,0.059,0.438,0.438,0.026,0.039,0.000
31,0.144,0.342,0.310,0.500,0.148,0.006,0.000,0.000,0.127,0.286,0.397,0.063,0.127,0.000
32,0.140,0.352,0.129,0.400,0.085,0.006,0.000,0.000,0.160,0.385,0.396,0.024,0.036,0.000
33,0.138,0.357,0.394,0.500,0.083,0.030,0.056,0.222,0.265,0.300,0.408,0.004,0.022,0.000
34,0.125,0.394,0.084,0.400,0.023,0.000,0.000,0.000,0.025,0.446,0.529,0.000,0.000,0.000
35,0.122,0.403,0.061,0.500,0.032,0.006,0.000,0.111,0.160,0.472,0.330,0.028,0.009,0.000
36,0.121,0.407,0.390,0.200,0.205,0.024,0.000,0.000,0.118,0.255,0.471,0.059,0.059,0.039
37,0.116,0.424,0.090,0.400,0.040,0.018,1.000,0.000,0.286,0.272,0.388,0.000,0.054,0.000
38,0.112,0.439,0.190,0.300,1.000,0.000,0.000,0.000,0.000,0.385,0.615,0.000,0.000,0.000
39,0.111,0.442,0.258,0.400,0.062,0.006,0.000,0.000,0.088,0.222,0.613,0.004,0.065,0.008
40,0.104,0.472,0.077,0.300,0.037,0.000,0.000,0.000,0.016,0.465,0.488,0.016,0.016,0.000
41,0.101,0.485,0.071,0.500,0.027,0.107,0.056,0.000,0.093,0.367,0.460,0.047,0.013,0.020
42,0.097,0.505,0.168,0.400,0.080,0.000,0.000,0.000,0.090,0.427,0.455,0.009,0.019,0.000
43,0.094,0.521,0.058,0.500,0.028,0.012,0.000,0.000,0.038,0.481,0.392,0.063,0.000,0.025
44,0.088,0.562,0.058,0.400,0.061,0.000,0.000,0.000,0.038,0.613,0.200,0.075,0.075,0.000
45,0.085,0.581,0.077,0.600,0.041,0.000,0.000,0.000,0.052,0.505,0.423,0.010,0.000,0.010
46,0.082,0.602,0.103,0.300,0.030,0.000,0.000,0.000,0.158,0.389,0.401,0.004,0.045,0.004
47,0.080,0.617,0.074,0.300,0.078,0.000,0.000,0.000,0.065,0.429,0.416,0.000,0.091,0.000
48,0.075,0.658,0.158,0.500,0.166,0.000,0.000,0.000,0.070,0.488,0.287,0.078,0.062,0.016
49,0.074,0.667,0.145,0.400,0.064,0.030,0.000,0.333,0.148,0.328,0.393,0.115,0.016,0.000
50,0.062,0.794,0.110,0.400,0.023,0.083,0.056,0.000,0.140,0.183,0.602,0.005,0.067,0.003
51,0.062,0.794,0.058,0.700,0.019,0.006,0.000,0.000,0.071,0.321,0.446,0.089,0.018,0.054
52,0.062,0.794,0.045,0.700,0.040,0.006,0.000,0.000,0.071,0.429,0.429,0.018,0.054,0.000
53,0.059,0.833,0.019,0.100,0.025,0.000,0.000,0.000,0.048,0.760,0.178,0.000,0.014,0.000
54,0.057,0.862,0.087,0.500,0.229,0.000,0.000,0.000,0.038,0.462,0.449,0.038,0.013,0.000
55,0.056,0.877,0.029,0.300,0.011,0.201,0.000,0.000,0.224,0.306,0.408,0.061,0.000,0.000
56,0.054,0.909,0.090,0.500,0.034,0.053,0.000,0.000,0.094,0.403,0.456,0.013,0.034,0.000
57,0.054,0.909,0.094,0.400,0.038,0.024,0.000,0.000,0.065,0.411,0.495,0.009,0.019,0.000
58,0.052,0.943,0.029,0.400,0.015,0.000,0.000,0.000,0.082,0.353,0.388,0.035,0.094,0.047
59,0.051,0.962,0.023,0.400,0.024,0.012,0.000,0.000,0.130,0.435,0.435,0.000,0.000,0.000
60,0.051,0.962,0.032,0.300,0.015,0.000,0.000,0.000,0.308,0.308,0.321,0.038,0.026,0.000
61,0.049,1.000,0.052,0.400,0.027,0.012,0.056,0.000,0.155,0.340,0.320,0.021,0.041,0.124
62,0.047,0.000,0.026,0.400,0.023,0.000,0.000,0.000,0.214,0.411,0.321,0.054,0.000,0.000
63,0.036,0.000,0.039,0.500,0.034,0.000,0.000,0.000,0.029,0.343,0.410,0.152,0.057,0.010
64,0.036,0.000,0.055,0.400,0.041,0.000,0.000,0.000,0.025,0.605,0.353,0.000,0.017,0.000
65,0.036,0.000,0.032,0.500,0.013,0.059,0.167,0.000,0.011,0.253,0.611,0.032,0.021,0.074
66,0.036,0.000,0.026,0.300,0.045,0.012,0.000,0.000,0.091,0.386,0.364,0.114,0.045,0.000
67,0.036,0.000,0.052,0.500,0.027,0.000,0.000,0.000,0.327,0.320,0.286,0.061,0.000,0.007
68,0.032,0.000,0.058,0.400,0.153,0.018,0.000,0.000,0.050,0.400,0.400,0.100,0.050,0.000
69,0.032,0.000,0.029,0.400,0.022,0.036,0.000,0.000,0.052,0.330,0.392,0.082,0.103,0.041
70,0.031,0.000,0.023,0.300,0.017,0.000,0.000,0.000,0.100,0.518,0.309,0.027,0.027,0.018
71,0.026,0.000,0.019,0.200,0.051,0.000,0.000,0.000,0.125,0.531,0.313,0.000,0.031,0.000
72,0.026,0.000,0.077,0.200,0.102,0.000,0.000,0.000,0.080,0.360,0.420,0.040,0.080,0.020
73,0.024,0.000,0.023,0.300,0.059,0.000,0.000,0.000,0.021,0.702,0.277,0.000,0.000,0.000
74,0.023,0.000,0.013,0.300,0.023,0.006,0.000,0.000,0.079,0.447,0.342,0.026,0.105,0.000
75,0.023,0.000,0.035,0.200,0.031,0.000,0.000,0.000,0.053,0.347,0.600,0.000,0.000,0.000
76,0.020,0.000,0.045,0.300,0.030,0.006,0.056,0.000,0.071,0.314,0.486,0.043,0.086,0.000
77,0.018,0.000,0.013,0.200,0.008,0.000,0.000,0.000,0.158,0.316,0.379,0.011,0.074,0.063
78,0.017,0.000,0.013,0.300,0.023,0.000,0.000,0.000,0.000,0.407,0.593,0.000,0.000,0.000
79,0.016,0.000,0.013,0.400,0.017,0.006,0.000,0.000,0.034,0.448,0.414,0.103,0.000,0.000
80,0.014,0.000,0.029,0.300,0.038,0.036,0.000,0.000,0.000,0.528,0.396,0.057,0.000,0.019
81,0.013,0.000,0.006,0.200,0.017,0.000,0.000,0.000,0.333,0.190,0.286,0.095,0.095,0.000
82,0.013,0.000,0.006,0.200,0.034,0.000,0.000,0.000,0.083,0.417,0.333,0.083,0.083,0.000
83,0.012,0.000,0.006,0.200,0.011,0.000,0.000,0.000,0.211,0.316,0.263,0.211,0.000,0.000
84,0.012,0.000,0.010,0.200,0.051,0.006,0.000,0.000,0.000,0.385,0.462,0.154,0.000,0.000
85,0.011,0.000,0.010,0.200,0.013,0.000,0.000,0.000,0.150,0.450,0.400,0.000,0.000,0.000
86,0.010,0.000,0.003,0.100,0.017,0.000,0.000,0.000,0.286,0.286,0.286,0.000,0.143,0.000
87,0.010,0.000,0.003,0.100,0.017,0.000,0.000,0.000,0.167,0.333,0.333,0.000,0.167,0.000
88,0.009,0.000,0.010,0.300,0.025,0.000,0.000,0.000,0.038,0.385,0.577,0.000,0.000,0.000
89,0.009,0.000,0.010,0.300,0.025,0.024,0.000,0.000,0.143,0.476,0.262,0.071,0.024,0.024
90,0.008,0.000,0.006,0.200,0.017,0.000,0.000,0.000,0.087,0.391,0.478,0.000,0.043,0.000
91,0.008,0.000,0.006,0.200,0.034,0.000,0.000,0.000,0.214,0.357,0.357,0.000,0.071,0.000
92,0.008,0.000,0.006,0.200,0.011,0.000,0.000,0.000,0.118,0.353,0.324,0.059,0.147,0.000
93,0.008,0.000,0.010,0.200,0.025,0.012,0.000,0.000,0.115,0.308,0.462,0.115,0.000,0.000
94,0.008,0.000,0.016,0.200,0.028,0.000,0.000,0.000,0.000,0.375,0.542,0.083,0.000,0.000
95,0.006,0.000,0.006,0.200,0.034,0.000,0.000,0.000,0.154,0.385,0.385,0.077,0.000,0.000
96,0.005,0.000,0.003,0.100,0.017,0.000,0.000,0.000,0.000,0.600,0.400,0.000,0.000,0.000
97,0.004,0.000,0.006,0.200,0.017,0.006,0.000,0.000,0.200,0.250,0.300,0.150,0.100,0.000
98,0.004,0.000,0.006,0.200,0.011,0.000,0.000,0.000,0.188,0.219,0.281,0.156,0.031,0.125
99,0.003,0.000,0.003,0.100,0.017,0.000,0.000,0.000,0.167,0.333,0.333,0.000,0.167,0.000
100,0.003,0.000,0.003,0.100,0.017,0.000,0.000,0.000,0.333,0.167,0.250,0.167,0.083,0.000
101,0.003,0.000,0.003,0.100,0.008,0.000,0.000,0.000,0.222,0.222,0.333,0.000,0.222,0.000
102,0.003,0.000,0.003,0.100,0.017,0.000,0.000,0.000,0.143,0.286,0.286,0.000,0.286,0.000
103,0.003,0.000,0.003,0.100,0.017,0.000,0.000,0.000,0.143,0.286,0.286,0.000,0.286,0.000
104,0.003,0.000,0.003,0.100,0.017,0.000,0.000,0.000,0.286,0.286,0.286,0.000,0.143,0.000
105,0.003,0.000,0.003,0.100,0.017,0.000,0.000,0.000,0.111,0.222,0.333,0.222,0.111,0.000
106,0.003,0.000,0.003,0.100,0.017,0.000,0.000,0.000,0.167,0.333,0.333,0.000,0.167,0.000
107,0.003,0.000,0.003,0.100,0.017,0.000,0.000,0.000,0.125,0.250,0.375,0.250,0.000,0.000
108,0.003,0.000,0.003,0.100,0.017,0.000,0.000,0.000,0.167,0.333,0.333,0.000,0.167,0.000
109,0.003,0.000,0.003,0.100,0.017,0.000,0.000,0.000,0.125,0.250,0.375,0.250,0.000,0.000
110,0.003,0.000,0.003,0.100,0.017,0.000,0.000,0.000,0.357,0.143,0.214,0.000,0.286,0.000
111,0.003,0.000,0.003,0.100,0.017,0.000,0.000,0.000,0.222,0.222,0.222,0.222,0.111,0.000
112,0.003,0.000,0.003,0.100,0.017,0.000,0.000,0.000,0.143,0.286,0.286,0.286,0.000,0.000
113,0.003,0.000,0.003,0.100,0.004,0.000,0.000,0.000,0.133,0.300,0.300,0.133,0.033,0.100
114,0.002,0.000,0.003,0.100,0.006,0.000,0.000,0.000,0.000,0.211,0.421,0.158,0.211,0.000
115,0.001,0.000,0.003,0.100,0.017,0.000,0.000,0.000,0.000,0.333,0.556,0.111,0.000,0.000
116,0.001,0.000,0.003,0.100,0.017,0.000,0.000,0.000,0.000,0.500,0.500,0.000,0.000,0.000
117,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
118,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
119,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
120,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
121,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
122,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
123,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
124,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
126,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
127,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.400,0.400,0.200,0.000,0.000,0.000
128,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
129,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
130,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
131,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.667,0.167,0.167,0.000,0.000,0.000
132,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000
133,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
134,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
135,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
136,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
137,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.182,0.182,0.455,0.182,0.000,0.000
138,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.600,0.000,0.400,0.000
139,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.207,0.172,0.448,0.069,0.103,0.000
140,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.077,0.462,0.385,0.000,0.077,0.000
141,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.500,0.000,0.000,0.000
142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.214,0.286,0.429,0.071,0.000,0.000
143,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.143,0.286,0.429,0.000,0.143
144,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000
145,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.108,0.162,0.378,0.162,0.054,0.135
146,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.429,0.000,0.286,0.286,0.000,0.000